sensor_name,stream_temperature,timestamp,flow_quantity,flow_temp,flowTimeIndex_delta,rowid,Property
Kitchen-Faucet,Cold,54:59.5,0.671,12.142,4.25,367864781,FW63
Kitchen-Faucet,Cold,42:58.7,0,15.096,0,569050014,FW63
Kitchen-Faucet,Cold,27:42.7,0,15.697,0,495079224,FW63
Kitchen-Faucet,Cold,16:59.7,0,14.323,0,367864740,FW63
Kitchen-Faucet,Hot,31:59.2,0,14.407,0,467449902,FW63
Kitchen-Faucet,Cold,39:27.5,0.28,14.545,6,623616075,FW63
Kitchen-Faucet,Cold,12:00.3,0,12.545,0,671842552,FW63
Kitchen-Faucet,Hot,22:17.9,0,16.049,0,640732264,FW63
Kitchen-Faucet,Cold,22:35.4,0,12.17,0,609612961,FW63
Kitchen-Faucet,Hot,50:41.4,0,14.739,0,397195542,FW63
Kitchen-Faucet,Hot,39:17.9,0,13.961,0,536609873,FW63
Kitchen-Faucet,Cold,38:14.0,0,15.833,0,647766882,FW63
Kitchen-Faucet,Hot,54:34.2,0,13.961,0,409211228,FW63
Kitchen-Faucet,Cold,04:28.6,0,13.399,0,621562494,FW63
Kitchen-Faucet,Hot,03:10.0,0,13.002,0,549677593,FW63
Kitchen-Faucet,Hot,12:44.1,0,23.558,0,594574618,FW63
Kitchen-Faucet,Cold,38:44.2,0,14.073,0,392698674,FW63
Kitchen-Faucet,Hot,26:58.4,0,18.334,0,369963553,FW63
Kitchen-Faucet,Hot,27:19.2,0,13.933,0,534065963,FW63
Kitchen-Faucet,Hot,35:47.8,1.382,15.995,12,486788088,FW63
Kitchen-Faucet,Cold,53:04.5,0.365,11.939,2.5,458704234,FW63
Kitchen-Faucet,Hot,00:01.0,0.336,39.047,2.5,670669267,FW63
Kitchen-Faucet,Cold,13:01.9,0,15.233,0,563898761,FW63
Kitchen-Faucet,Cold,54:03.7,0,14.379,0,665676970,FW63
Kitchen-Faucet,Cold,10:39.9,0,13.709,0,601527129,FW63
Kitchen-Faucet,Cold,32:49.7,0,15.398,0,383696101,FW63
Kitchen-Faucet,Cold,25:52.7,0,15.779,0,685484621,FW63
Kitchen-Faucet,Cold,16:35.7,0,14.101,0,609039600,FW63
Kitchen-Faucet,Cold,37:52.4,0,15.86,0,686074957,FW63
Kitchen-Faucet,Cold,14:57.0,0,15.887,0,372332618,FW63
Kitchen-Faucet,Cold,12:45.0,0,14.045,0,699384745,FW63
Kitchen-Faucet,Hot,27:09.3,0,13.002,0,551367948,FW63
Kitchen-Faucet,Cold,54:31.3,1.242,12.43,10,414353514,FW63
Kitchen-Faucet,Hot,40:28.4,0,17.307,0,622138596,FW63
Kitchen-Faucet,Cold,27:01.0,0.436,12.916,5.75,464199813,FW63
Kitchen-Faucet,Cold,48:47.8,0,12.717,0,387136821,FW63
Kitchen-Faucet,Hot,30:34.1,0,13.905,0,409742578,FW63
Kitchen-Faucet,Hot,02:08.7,0,23.434,0,451583447,FW63
Kitchen-Faucet,Cold,41:05.9,3.892,12.228,30,556784477,FW63
Kitchen-Faucet,Hot,06:01.3,0,19.063,0,670082568,FW63
Kitchen-Faucet,Hot,53:55.0,0,14.656,0,680999438,FW63
Kitchen-Faucet,Cold,38:46.0,0.077,12.17,1.5,390291856,FW63
Kitchen-Faucet,Hot,44:53.5,0,15.343,0,377853953,FW63
Kitchen-Faucet,Cold,40:23.5,0.688,13.144,4.25,427073876,FW63
Kitchen-Faucet,Cold,45:07.1,0,15.206,0,659793307,FW63
Kitchen-Faucet,Hot,15:26.8,0,14.156,0,521929376,FW63
Kitchen-Faucet,Cold,05:56.4,0,15.233,0,678919797,FW63
Kitchen-Faucet,Hot,32:51.5,0,14.739,0,581892365,FW63
Kitchen-Faucet,Hot,26:08.9,0,33.769,0,451583438,FW63
Kitchen-Faucet,Hot,13:50.1,0,15.995,0,689934826,FW63
Kitchen-Faucet,Hot,51:07.7,0,12.774,0,553916888,FW63
Kitchen-Faucet,Cold,13:52.1,0,14.462,0,479571170,FW63
Kitchen-Faucet,Cold,39:24.5,0,13.821,0,425455817,FW63
Kitchen-Faucet,Cold,52:21.9,0,16.211,0,429576689,FW63
Kitchen-Faucet,Hot,18:53.7,0,14.711,0,577605861,FW63
Kitchen-Faucet,Hot,39:08.9,0,12.973,0,551679628,FW63
Kitchen-Faucet,Cold,07:40.2,0.058,11.735,1.5,399613767,FW63
Kitchen-Faucet,Cold,30:58.7,0.648,13.821,4.75,674513946,FW63
Kitchen-Faucet,Hot,09:33.0,0,35.243,0.25,411358653,FW63
Kitchen-Faucet,Hot,19:00.3,6.346,38.854,51,671842571,FW63
Kitchen-Faucet,Hot,28:29.7,0,15.179,0,619826394,FW63
Kitchen-Faucet,Cold,16:06.8,0,14.407,0,455134397,FW63
Kitchen-Faucet,Cold,28:01.0,0,12.516,0,464199816,FW63
Kitchen-Faucet,Hot,46:12.0,0.11,30.396,2,445862497,FW63
Kitchen-Faucet,Cold,36:42.5,0.48,13.624,3.25,597458307,FW63
Kitchen-Faucet,Hot,17:04.0,0,14.462,0,560197553,FW63
Kitchen-Faucet,Hot,35:54.8,0,15.042,0,681590808,FW63
Kitchen-Faucet,Cold,44:21.8,0,15.316,0,633760264,FW63
Kitchen-Faucet,Hot,27:13.8,0,13.455,0,543396366,FW63
Kitchen-Faucet,Cold,39:28.8,0,14.518,0,518266631,FW63
Kitchen-Faucet,Hot,39:54.1,0.742,18.282,6,682784294,FW63
Kitchen-Faucet,Hot,14:09.2,0,14.434,0,451042741,FW63
Kitchen-Faucet,Hot,03:19.0,0,14.045,0,534372477,FW63
Kitchen-Faucet,Hot,38:43.6,0,15.534,0,393751007,FW63
Kitchen-Faucet,Cold,58:09.7,0,14.656,0,655363278,FW63
Kitchen-Faucet,Cold,13:40.5,0,15.751,0,707522360,FW63
Kitchen-Faucet,Cold,03:31.6,0,15.233,0,513522514,FW63
Kitchen-Faucet,Cold,19:45.2,2.405,15.042,24.25,698860367,FW63
Kitchen-Faucet,Hot,52:21.9,0,19.296,0,429576690,FW63
Kitchen-Faucet,Cold,31:57.7,0,13.314,0,469921749,FW63
Kitchen-Faucet,Cold,59:15.3,3.736,12.43,27,645104078,FW63
Kitchen-Faucet,Hot,38:13.4,0,40.547,0,648927058,FW63
Kitchen-Faucet,Hot,54:58.3,0,15.151,0,569616815,FW63
Kitchen-Faucet,Hot,10:50.0,0.112,27.309,1,482622457,FW63
Kitchen-Faucet,Hot,26:38.1,0.048,12.859,0.5,604694954,FW63
Kitchen-Faucet,Cold,49:01.7,0,15.179,0,564205779,FW63
Kitchen-Faucet,Cold,34:12.2,0,14.462,0,650404439,FW63
Kitchen-Faucet,Hot,06:02.4,0,13.849,0,668005844,FW63
Kitchen-Faucet,Cold,43:40.1,0.394,14.407,2.75,707580007,FW63
Kitchen-Faucet,Cold,04:56.5,0.258,15.779,1.75,572775097,FW63
Kitchen-Faucet,Hot,09:04.9,0,16.319,0,558498750,FW63
Kitchen-Faucet,Cold,08:46.9,0,14.296,0,589928356,FW63
Kitchen-Faucet,Cold,43:59.7,0,14.932,0,466909095,FW63
Kitchen-Faucet,Cold,39:08.9,0,13.201,0,551679627,FW63
Kitchen-Faucet,Cold,51:20.3,0,14.156,0,532384277,FW63
Kitchen-Faucet,Hot,05:40.2,0,23.681,0.25,399613763,FW63
Kitchen-Faucet,Cold,18:31.7,0,14.212,0,413278294,FW63
Kitchen-Faucet,Cold,42:55.7,0,14.128,0,574470857,FW63
Kitchen-Faucet,Hot,54:36.0,0,14.323,0,406274788,FW63
Kitchen-Faucet,Cold,35:02.0,0,12.516,0,363921417,FW63
Kitchen-Faucet,Cold,29:55.7,0,15.124,0,680088556,FW63
Kitchen-Faucet,Cold,07:51.3,0.919,15.779,9.5,381292048,FW63
Kitchen-Faucet,Cold,38:25.7,0,15.507,0,627060156,FW63
Kitchen-Faucet,Cold,25:50.6,0,15.616,0,689348196,FW63
Kitchen-Faucet,Hot,40:19.6,0,14.821,0,433616453,FW63
Kitchen-Faucet,Cold,19:05.4,0.321,11.91,5.25,557360939,FW63
Kitchen-Faucet,Hot,56:20.5,0.292,40.742,11.5,635807835,FW63
Kitchen-Faucet,Cold,33:06.2,0,12.659,0,661278388,FW63
Kitchen-Faucet,Hot,10:12.0,0,15.288,0,650986234,FW63
Kitchen-Faucet,Cold,49:00.8,0,14.821,0,565891766,FW63
Kitchen-Faucet,Cold,19:35.5,0.994,13.54,7.5,609612954,FW63
Kitchen-Faucet,Cold,38:58.0,0,16.238,0,370483916,FW63
Kitchen-Faucet,Hot,38:23.8,0,16.184,0,426531561,FW63
Kitchen-Faucet,Cold,14:10.1,0,14.904,0,449421017,FW63
Kitchen-Faucet,Cold,09:56.5,1.219,14.821,22.25,573338218,FW63
Kitchen-Faucet,Hot,35:45.4,0,16.373,0,490384835,FW63
Kitchen-Faucet,Hot,16:13.8,0,34.102,0,647766904,FW63
Kitchen-Faucet,Cold,27:58.8,0,13.568,0,674513938,FW63
Kitchen-Faucet,Hot,44:50.3,0,14.434,0,583918450,FW63
Kitchen-Faucet,Cold,18:45.2,0,16.022,0.25,698860365,FW63
Kitchen-Faucet,Cold,28:00.5,0.251,12.286,2,366533442,FW63
Kitchen-Faucet,Cold,11:50.0,0,13.002,0,482622458,FW63
Kitchen-Faucet,Hot,20:51.0,0,14.379,0,582375267,FW63
Kitchen-Faucet,Hot,46:02.7,0,13.652,0,461727407,FW63
Kitchen-Faucet,Cold,50:39.3,0.991,13.087,13.75,400674937,FW63
Kitchen-Faucet,Cold,53:01.9,0.891,11.56,5.5,364449294,FW63
Kitchen-Faucet,Cold,27:33.8,0.452,13.849,6.25,612241274,FW63
Kitchen-Faucet,Cold,05:18.0,1.696,13.624,22.75,436080907,FW63
Kitchen-Faucet,Cold,42:24.4,0.331,12.084,5.75,425455824,FW63
Kitchen-Faucet,Hot,12:06.0,0,17.836,0,661863048,FW63
Kitchen-Faucet,Hot,26:29.9,1.326,31.609,10,416271241,FW63
Kitchen-Faucet,Hot,47:16.0,0,36.029,0,439858967,FW63
Kitchen-Faucet,Hot,43:12.0,0,13.961,0.25,445862490,FW63
Kitchen-Faucet,Cold,37:53.3,0,14.573,0,684303686,FW63
Kitchen-Faucet,Cold,13:53.1,0,15.425,0,684893553,FW63
Kitchen-Faucet,Hot,05:56.4,0,15.042,0,678919798,FW63
Kitchen-Faucet,Cold,31:45.0,0.459,14.518,3,593099593,FW63
Kitchen-Faucet,Cold,42:17.8,0,13.229,0,436621540,FW63
Kitchen-Faucet,Hot,15:22.2,0,13.961,0,528705610,FW63
Kitchen-Faucet,Hot,58:53.5,0.029,31.038,0.5,683981864,FW63
Kitchen-Faucet,Hot,39:47.2,0.034,41.866,0.75,487887551,FW63
Kitchen-Faucet,Hot,27:29.1,0,14.296,0,517706710,FW63
Kitchen-Faucet,Cold,04:48.4,0,13.596,0,587080217,FW63
Kitchen-Faucet,Cold,29:02.0,0,13.624,0,363921412,FW63
Kitchen-Faucet,Hot,49:49.0,0,15.588,0,692016737,FW63
Kitchen-Faucet,Hot,02:47.1,0,17.307,0,388185210,FW63
Kitchen-Faucet,Hot,53:57.7,0,15.887,0,676582987,FW63
Kitchen-Faucet,Hot,50:56.8,0,15.588,0,372332626,FW63
Kitchen-Faucet,Cold,25:00.6,0,14.794,0,565891773,FW63
Kitchen-Faucet,Cold,24:38.6,0,14.045,0,402274330,FW63
Kitchen-Faucet,Hot,24:52.5,0,14.351,0,579607344,FW63
Kitchen-Faucet,Cold,04:51.7,0,13.116,0.25,687264706,FW63
Kitchen-Faucet,Cold,18:25.1,0,13.286,0,424371201,FW63
Kitchen-Faucet,Hot,33:47.2,0.883,37.917,8,487887536,FW63
Kitchen-Faucet,Cold,54:36.0,0,14.407,0,406274787,FW63
Kitchen-Faucet,Hot,45:17.7,0,14.628,0.25,436621547,FW63
Kitchen-Faucet,Hot,35:59.7,0.026,14.24,0.75,567491215,FW63
Kitchen-Faucet,Hot,15:57.3,0,14.545,0.25,571645164,FW63
Kitchen-Faucet,Hot,12:29.1,0,16.534,0,417872717,FW63
Kitchen-Faucet,Cold,58:49.8,1.367,11.531,16.75,483176362,FW63
Kitchen-Faucet,Cold,15:15.0,0,13.961,0,541141444,FW63
Kitchen-Faucet,Hot,20:50.1,0,14.434,0,583918458,FW63
Kitchen-Faucet,Hot,51:41.9,0,15.479,0,495949312,FW63
Kitchen-Faucet,Cold,39:39.6,0,15.779,0,500116902,FW63
Kitchen-Faucet,Cold,57:30.9,0.35,12.401,3.5,414889071,FW63
Kitchen-Faucet,Hot,52:28.9,0,14.518,0,620987122,FW63
Kitchen-Faucet,Cold,39:42.3,0,15.724,0,495392986,FW63
Kitchen-Faucet,Cold,57:35.4,0,17.175,0,715940358,FW63
Kitchen-Faucet,Hot,57:35.4,0,17.015,0,715940359,FW63
Kitchen-Faucet,Hot,20:33.0,0,31.442,0,411358665,FW63
Kitchen-Faucet,Cold,30:56.1,0,14.628,0,573902949,FW63
Kitchen-Faucet,Cold,31:59.6,4.072,11.881,29,367864754,FW63
Kitchen-Faucet,Cold,13:02.8,0,14.904,0,562207020,FW63
Kitchen-Faucet,Hot,34:38.3,0,13.03,0,604694930,FW63
Kitchen-Faucet,Hot,53:06.2,0,18.203,0,556473373,FW63
Kitchen-Faucet,Hot,53:00.4,3.558,36.744,32,671842543,FW63
Kitchen-Faucet,Hot,48:45.8,0,20.501,0.25,698268865,FW63
Kitchen-Faucet,Hot,51:28.4,0,14.184,0,519135695,FW63
Kitchen-Faucet,Cold,27:32.7,0,15.343,0,511555540,FW63
Kitchen-Faucet,Cold,16:30.0,0,14.101,0,619511028,FW63
Kitchen-Faucet,Hot,37:47.2,0,41.254,0,487887546,FW63
Kitchen-Faucet,Cold,54:27.7,1.639,13.765,12,623290351,FW63
Kitchen-Faucet,Hot,02:59.7,1.896,27.381,18,672747361,FW63
Kitchen-Faucet,Hot,26:36.3,3.704,21.915,42.25,608144228,FW63
Kitchen-Faucet,Cold,10:17.4,0,15.968,0,641307800,FW63
Kitchen-Faucet,Hot,27:21.0,0,13.849,0,531517492,FW63
Kitchen-Faucet,Hot,39:59.3,0,37.294,0.25,368387138,FW63
Kitchen-Faucet,Hot,14:08.3,0,16.668,0,452423885,FW63
Kitchen-Faucet,Hot,07:40.5,2.88,24.124,25.5,399080216,FW63
Kitchen-Faucet,Hot,35:44.5,0,15.534,0,491782181,FW63
Kitchen-Faucet,Hot,15:40.3,0,15.452,0,499019243,FW63
Kitchen-Faucet,Hot,33:00.8,0,16.641,0,366011540,FW63
Kitchen-Faucet,Hot,21:05.7,1.058,19.785,12.25,556784532,FW63
Kitchen-Faucet,Cold,33:34.4,0,16.935,0,717440748,FW63
Kitchen-Faucet,Hot,33:34.4,0,16.641,0,717440749,FW63
Kitchen-Faucet,Hot,26:07.7,0,14.628,0,658613764,FW63
Kitchen-Faucet,Cold,42:04.0,0,14.462,0,665095036,FW63
Kitchen-Faucet,Hot,44:16.0,0.713,20.041,6.5,439858959,FW63
Kitchen-Faucet,Hot,34:15.8,0,37.007,0,644517863,FW63
Kitchen-Faucet,Cold,46:19.0,0,16.828,0,638449855,FW63
Kitchen-Faucet,Hot,52:00.7,0,38.565,0,671257143,FW63
Kitchen-Faucet,Hot,03:20.8,0,13.877,0,531517500,FW63
Kitchen-Faucet,Hot,50:16.0,0,24.001,0,643935244,FW63
Kitchen-Faucet,Hot,07:37.8,0,16.802,0,711461555,FW63
Kitchen-Faucet,Hot,38:40.9,0,14.628,0,398253419,FW63
Kitchen-Faucet,Cold,41:04.1,0,12.516,0,560197540,FW63
Kitchen-Faucet,Cold,09:00.6,0,16.049,0,366533428,FW63
Kitchen-Faucet,Hot,16:47.6,0.626,15.724,4.5,387136829,FW63
Kitchen-Faucet,Hot,31:47.2,3.265,28.126,25.5,487887531,FW63
Kitchen-Faucet,Hot,58:09.7,0,14.379,0,655363279,FW63
Kitchen-Faucet,Cold,40:29.3,0,14.794,0,620409086,FW63
Kitchen-Faucet,Cold,18:33.3,0.607,13.877,3.75,410819145,FW63
Kitchen-Faucet,Cold,37:02.0,0,15.233,0,563335952,FW63
Kitchen-Faucet,Cold,09:44.1,0,15.914,0,700966241,FW63
Kitchen-Faucet,Cold,09:33.0,0,12.631,0.25,411358652,FW63
Kitchen-Faucet,Hot,03:38.0,0,15.37,0,502630981,FW63
Kitchen-Faucet,Hot,54:56.9,0,16.614,0,572211144,FW63
Kitchen-Faucet,Hot,31:51.3,0,19.244,0,688173599,FW63
Kitchen-Faucet,Cold,40:20.5,0,15.616,0,432009048,FW63
Kitchen-Faucet,Cold,46:53.5,0.531,14.073,7,683981856,FW63
Kitchen-Faucet,Cold,25:10.2,0.997,13.342,10.25,549677579,FW63
Kitchen-Faucet,Cold,28:59.6,0,13.116,0,367864751,FW63
Kitchen-Faucet,Hot,27:24.6,0,14.212,0,525578918,FW63
Kitchen-Faucet,Cold,49:37.9,1.17,12.113,9.75,605272239,FW63
Kitchen-Faucet,Hot,15:48.0,0,24.566,0,693788570,FW63
Kitchen-Faucet,Cold,09:37.5,0.028,16.855,1,712055169,FW63
Kitchen-Faucet,Hot,58:49.8,0.029,36.959,1.5,483176363,FW63
Kitchen-Faucet,Cold,51:26.6,0,14.518,0,521929383,FW63
Kitchen-Faucet,Hot,31:55.9,0,13.54,0,472974670,FW63
Kitchen-Faucet,Hot,28:48.8,0,23.236,0,586202212,FW63
Kitchen-Faucet,Hot,54:33.3,0,13.821,0,410819140,FW63
Kitchen-Faucet,Hot,57:27.7,1.632,36.172,13.25,623290360,FW63
Kitchen-Faucet,Cold,46:59.5,0.328,11.735,2,367864776,FW63
Kitchen-Faucet,Cold,14:30.5,0,13.116,0,415424636,FW63
Kitchen-Faucet,Cold,19:52.2,0.28,12.401,3.25,379714454,FW63
Kitchen-Faucet,Cold,39:48.2,0.447,14.932,3,693788561,FW63
Kitchen-Faucet,Hot,56:35.0,1.223,29.776,12.25,610776216,FW63
Kitchen-Faucet,Hot,57:44.7,3.927,28.653,30.25,392171452,FW63
Kitchen-Faucet,Hot,03:13.6,0,13.427,0,543980199,FW63
Kitchen-Faucet,Hot,45:47.8,0,17.44,0.25,387136815,FW63
Kitchen-Faucet,Cold,40:04.1,0.694,12.945,6.5,560197538,FW63
Kitchen-Faucet,Cold,34:41.0,0,13.849,0,600068328,FW63
Kitchen-Faucet,Cold,44:49.3,0,15.398,0,384743722,FW63
Kitchen-Faucet,Hot,00:28.6,0,23.681,0,621562491,FW63
Kitchen-Faucet,Cold,36:59.0,0.982,13.371,16.5,673929992,FW63
Kitchen-Faucet,Cold,21:36.6,0.122,11.384,1.5,607577289,FW63
Kitchen-Faucet,Hot,43:54.4,4.334,21.261,42.5,682184925,FW63
Kitchen-Faucet,Cold,51:17.6,0,14.268,0,536917912,FW63
Kitchen-Faucet,Hot,58:51.7,2.191,37.462,19.5,687264692,FW63
Kitchen-Faucet,Hot,13:40.5,0,15.507,0,707522361,FW63
Kitchen-Faucet,Cold,48:13.0,0,13.821,0,649509463,FW63
Kitchen-Faucet,Cold,08:31.5,1.819,13.455,17.25,413817389,FW63
Kitchen-Faucet,Hot,42:33.7,0,13.821,0,410280787,FW63
Kitchen-Faucet,Cold,54:04.6,0,14.212,0,664197388,FW63
Kitchen-Faucet,Cold,31:55.0,0,13.793,0,474611700,FW63
Kitchen-Faucet,Cold,39:23.3,0,14.379,0,527547231,FW63
Kitchen-Faucet,Cold,16:29.1,0,14.766,0,620987113,FW63
Kitchen-Faucet,Cold,54:02.8,0,14.212,0,667421884,FW63
Kitchen-Faucet,Hot,49:00.8,0,14.601,0,565891767,FW63
Kitchen-Faucet,Cold,16:05.8,0,12.344,0,556784516,FW63
Kitchen-Faucet,Hot,40:21.4,0,16.346,0,430650496,FW63
Kitchen-Faucet,Hot,32:49.7,0,15.398,0,383696102,FW63
Kitchen-Faucet,Hot,57:04.7,0,14.794,0,559066232,FW63
Kitchen-Faucet,Hot,25:10.6,1.445,14.296,20.5,448335784,FW63
Kitchen-Faucet,Cold,00:19.2,0.686,14.518,5.25,434160060,FW63
Kitchen-Faucet,Cold,52:05.7,0,14.212,0,456513394,FW63
Kitchen-Faucet,Hot,00:23.1,0.698,23.607,7.25,427645977,FW63
Kitchen-Faucet,Cold,08:49.5,0,15.398,0,384218248,FW63
Kitchen-Faucet,Cold,03:30.7,0,14.959,0,515190522,FW63
Kitchen-Faucet,Hot,43:00.1,0,19.502,0,367053776,FW63
Kitchen-Faucet,Hot,46:23.6,4.646,24.762,44.5,630845937,FW63
Kitchen-Faucet,Hot,37:06.6,0.628,20.602,4.25,555910034,FW63
Kitchen-Faucet,Cold,11:56.7,0,14.351,0,572775073,FW63
Kitchen-Faucet,Cold,34:39.2,0,13.512,0,603239107,FW63
Kitchen-Faucet,Cold,02:41.1,0,14.959,0,398253411,FW63
Kitchen-Faucet,Hot,36:53.0,0,14.407,0,579042352,FW63
Kitchen-Faucet,Cold,15:36.3,0,12.055,0.25,608144212,FW63
Kitchen-Faucet,Cold,30:16.6,0,11.178,0,438243168,FW63
Kitchen-Faucet,Cold,58:11.7,0,14.128,0,446952902,FW63
Kitchen-Faucet,Cold,47:54.0,0.022,12.802,1,476000657,FW63
Kitchen-Faucet,Hot,08:51.3,0,14.518,0,581892372,FW63
Kitchen-Faucet,Hot,11:23.1,5.468,29.179,38.5,631304063,FW63
Kitchen-Faucet,Hot,05:16.0,0,37.318,0.25,643935284,FW63
Kitchen-Faucet,Cold,13:07.7,0,13.002,0.25,453507845,FW63
Kitchen-Faucet,Cold,20:52.2,0,12.055,0,379714456,FW63
Kitchen-Faucet,Hot,48:05.8,0,16.13,0,661863055,FW63
Kitchen-Faucet,Hot,47:25.0,0.143,28.006,1.75,424371232,FW63
Kitchen-Faucet,Hot,00:53.2,0,14.49,0,578478057,FW63
Kitchen-Faucet,Cold,34:02.0,0.125,12.602,1,363921415,FW63
